,Vendor,Type_of_Spend,Brand,PO_Number,PO_Amount,Invoice_Amount,Difference,Date_Opened
3450,Pinterest Inc,Brand Asset Development,Clay-Dough,59747546,65667,26421,39246,2022-07-16
1050,Meta Platforms,Influencer,Clay-Dough,37932853,65641,5655,59986,2022-04-17
981,Meta Platforms,E-Commerce,Transmorphers,42726504,65622,11253,54369,2022-10-31
657,KYG Antler LLC,E-Commerce,Merf,71951910,65621,27864,37757,2022-02-03
495,Meta Platforms,Media Supported Asset,Space Wars,77048312,65620,55098,10522,2022-06-01
3443,Pinterest Inc,E-Commerce,GI-Bro,10346055,65597,54228,11369,2022-06-16
1926,Google Inc.,E-Commerce,Clay-Dough,28678951,65570,5255,60315,2022-02-21
4290,TikTok Inc,Influencer,GI-Bro,31573244,65519,36600,28919,2022-07-22
82,The Martingale Agency,Influencer,Merf,41950229,65516,9025,56491,2022-11-13
4698,The Martingale Agency,Media Supported Asset,Clay-Dough,71013892,65506,1701,63805,2022-08-23
4061,The Martingale Agency,Brand Asset Development,Transmorphers,35094144,65466,50911,14555,2022-05-18
4547,The Martingale Agency,Media Supported Asset,Transmorphers,56064681,65457,13422,52035,2022-10-12
4620,Disney Studios,E-Commerce,Space Wars,57137929,65423,61314,4109,2022-05-29
2056,TikTok Inc,Influencer,Space Wars,21905089,65420,37608,27812,2022-07-27
4746,Google Inc.,Brand Publicity,Space Wars,53665810,65382,5824,59558,2022-03-27
1650,Meta Platforms,Brand Asset Development,Space Wars,15023921,65341,27491,37850,2022-06-29
3229,Nintendo Technologies,Brand Publicity,Space Wars,78008831,65306,11165,54141,2022-03-16
3959,Disney Studios,Brand Asset Development,GI-Bro,64624231,65301,9388,55913,2022-07-24
2806,Disney Studios,Influencer,Space Wars,14503963,65265,45865,19400,2022-06-20
4181,KYG Antler LLC,Influencer,Space Wars,60740737,65251,25072,40179,2022-04-27
1120,KYG Antler LLC,Media Supported Asset,Clay-Dough,46506513,65152,23708,41444,2022-06-12
15,The Martingale Agency,Media Supported Asset,Transmorphers,18869696,65115,23764,41351,2022-07-03
2014,KYG Antler LLC,E-Commerce,Merf,22704998,65102,12061,53041,2022-10-25
4677,Meta Platforms,Brand Publicity,Transmorphers,34437931,65084,20727,44357,2022-08-19
1913,TikTok Inc,Influencer,Merf,41584939,65079,1603,63476,2022-03-28
2642,Pinterest Inc,Media Supported Asset,Transmorphers,43124028,65066,45241,19825,2022-05-16
4894,Disney Studios,Brand Asset Development,Merf,43651359,65063,11910,53153,2022-12-17
1962,TikTok Inc,Influencer,Transmorphers,69224720,65060,11622,53438,2022-12-15
1220,Disney Studios,Brand Asset Development,Clay-Dough,33442552,65000,26981,38019,2022-08-28
571,Meta Platforms,E-Commerce,Clay-Dough,10383675,64992,28816,36176,2022-09-03
4420,Google Inc.,Media Supported Asset,Space Wars,72469087,64986,12833,52153,2022-05-28
4503,Disney Studios,Brand Publicity,Merf,83475358,64982,6836,58146,2022-08-11
1278,TikTok Inc,Brand Asset Development,Clay-Dough,64121653,64913,21634,43279,2022-01-08
4260,KYG Antler LLC,Brand Asset Development,Merf,99203871,64867,38589,26278,2022-01-20
1580,Meta Platforms,Brand Publicity,GI-Bro,74145347,64858,13578,51280,2022-07-21
3520,Nintendo Technologies,Media Supported Asset,Space Wars,33736012,64849,56999,7850,2022-05-29
875,Meta Platforms,Influencer,Transmorphers,43473294,64849,19227,45622,2022-07-09
2217,KYG Antler LLC,Brand Asset Development,Transmorphers,70442496,64823,18924,45899,2022-03-16
2505,TikTok Inc,Brand Publicity,Clay-Dough,34852233,64759,33955,30804,2022-09-29
2522,KYG Antler LLC,Influencer,Transmorphers,84447869,64739,21024,43715,2022-03-22
2145,Nintendo Technologies,Media Supported Asset,Clay-Dough,80650440,64698,41955,22743,2022-04-19
605,Disney Studios,Brand Asset Development,Merf,56924714,64675,52830,11845,2022-03-27
2635,Meta Platforms,Media Supported Asset,Clay-Dough,78297871,64645,10877,53768,2022-08-30
4634,Nintendo Technologies,Media Supported Asset,Space Wars,41626792,64617,13748,50869,2022-08-27
3113,TikTok Inc,Brand Asset Development,Clay-Dough,25925999,64583,49946,14637,2022-03-09
3125,Meta Platforms,Brand Publicity,Merf,92721299,64565,22760,41805,2022-04-04
250,Disney Studios,Influencer,Clay-Dough,28143290,64478,17335,47143,2022-08-05
4602,Disney Studios,Media Supported Asset,Space Wars,77838735,64362,3498,60864,2022-10-27
4701,Nintendo Technologies,Brand Publicity,Clay-Dough,99154829,64361,5802,58559,2022-10-25
695,TikTok Inc,Influencer,Merf,47317027,64357,45732,18625,2022-01-01
2817,Disney Studios,Brand Publicity,GI-Bro,31983835,64350,55034,9316,2022-06-06
4362,KYG Antler LLC,Media Supported Asset,Transmorphers,87761270,64274,25539,38735,2022-09-04
3768,Google Inc.,Brand Asset Development,Clay-Dough,93484008,64268,52874,11394,2022-05-06
3616,Nintendo Technologies,Brand Asset Development,GI-Bro,12320724,64264,24385,39879,2022-06-15
4835,Google Inc.,Media Supported Asset,Clay-Dough,31462670,64262,41908,22354,2022-06-14
563,Meta Platforms,Brand Asset Development,Space Wars,55546937,64260,6888,57372,2022-12-12
580,TikTok Inc,Media Supported Asset,Merf,63887739,64253,45700,18553,2022-01-29
2115,Meta Platforms,E-Commerce,Space Wars,34139585,64250,50439,13811,2022-01-15
4072,Disney Studios,Brand Publicity,Transmorphers,85059566,64246,6625,57621,2022-11-24
722,Google Inc.,E-Commerce,Merf,29458522,64230,2102,62128,2022-10-10
1039,Nintendo Technologies,Influencer,Space Wars,18054789,64206,19946,44260,2022-07-12
2676,Google Inc.,Media Supported Asset,Clay-Dough,69434115,64186,54256,9930,2022-06-23
2433,The Martingale Agency,E-Commerce,GI-Bro,13278770,64179,55587,8592,2022-04-09
3146,Disney Studios,Brand Publicity,Space Wars,35128232,64170,42569,21601,2022-02-27
1373,TikTok Inc,Media Supported Asset,Space Wars,29908743,64168,9684,54484,2022-01-02
3763,The Martingale Agency,Media Supported Asset,Merf,59881676,64161,62789,1372,2022-04-18
2175,Google Inc.,Media Supported Asset,Transmorphers,35983449,64130,6814,57316,2022-12-20
1963,TikTok Inc,E-Commerce,Clay-Dough,15012369,64115,2208,61907,2022-07-09
779,Meta Platforms,E-Commerce,Space Wars,44039063,64089,8493,55596,2022-12-13
2998,TikTok Inc,Influencer,GI-Bro,86972517,64054,2183,61871,2022-07-29
3086,The Martingale Agency,Influencer,Space Wars,47846944,64048,20307,43741,2022-06-13
4300,Pinterest Inc,Brand Publicity,Clay-Dough,89001327,64026,9177,54849,2022-12-16
1885,Pinterest Inc,Brand Publicity,Space Wars,52745111,64018,8827,55191,2022-11-15
3353,TikTok Inc,Brand Publicity,Space Wars,55434825,64017,5384,58633,2022-05-31
1999,Pinterest Inc,Media Supported Asset,Space Wars,71910472,63995,17380,46615,2022-04-01
3040,Disney Studios,Media Supported Asset,Clay-Dough,67817995,63988,11633,52355,2022-04-26
329,Pinterest Inc,Brand Asset Development,Clay-Dough,83019706,63954,1605,62349,2022-06-23
4238,Disney Studios,Brand Publicity,Space Wars,63765512,63936,33233,30703,2022-09-07
2020,Pinterest Inc,Media Supported Asset,GI-Bro,67879924,63901,40372,23529,2022-02-07
4705,TikTok Inc,Influencer,Clay-Dough,84189600,63886,2984,60902,2022-09-03
2035,Disney Studios,E-Commerce,Clay-Dough,68637421,63874,43200,20674,2022-02-25
3718,TikTok Inc,E-Commerce,Transmorphers,52635948,63863,24042,39821,2022-08-11
430,TikTok Inc,Media Supported Asset,Clay-Dough,57188040,63861,12467,51394,2022-12-09
4914,Pinterest Inc,Brand Publicity,GI-Bro,87084779,63855,5032,58823,2022-12-15
544,Pinterest Inc,E-Commerce,Clay-Dough,22433036,63814,9952,53862,2022-10-15
2061,KYG Antler LLC,E-Commerce,Transmorphers,94909894,63811,8314,55497,2022-06-30
4424,Disney Studios,Influencer,Clay-Dough,81597220,63809,42017,21792,2022-02-09
1506,Nintendo Technologies,Influencer,Space Wars,65783445,63731,2687,61044,2022-07-20
97,Meta Platforms,E-Commerce,Space Wars,45051320,63684,52545,11139,2022-05-04
2466,Disney Studios,Media Supported Asset,Transmorphers,47588267,63681,58320,5361,2022-03-21
4355,The Martingale Agency,Brand Publicity,Transmorphers,33131277,63638,42609,21029,2022-03-17
719,KYG Antler LLC,Brand Publicity,Clay-Dough,20717023,63628,57000,6628,2022-05-20
773,Pinterest Inc,E-Commerce,Space Wars,43098863,63624,5195,58429,2022-10-06
2220,Google Inc.,Brand Publicity,Transmorphers,29197626,63615,38898,24717,2022-06-15
728,The Martingale Agency,E-Commerce,Transmorphers,13275248,63611,22547,41064,2022-01-10
369,Disney Studios,Brand Asset Development,Space Wars,53717593,63591,31252,32339,2022-03-22
379,Meta Platforms,Media Supported Asset,GI-Bro,30385821,63584,12810,50774,2022-11-17
1776,Google Inc.,Brand Publicity,GI-Bro,74867820,63582,117,63465,2022-11-02
3605,Google Inc.,Media Supported Asset,Transmorphers,25915659,63567,20569,42998,2022-07-01
4983,Meta Platforms,E-Commerce,GI-Bro,54484410,63552,49391,14161,2022-01-30
4790,Nintendo Technologies,Media Supported Asset,Merf,83274606,63547,27068,36479,2022-07-03
3896,Disney Studios,Brand Publicity,Space Wars,75903607,63477,30996,32481,2022-09-22
724,Disney Studios,E-Commerce,Transmorphers,81185790,63468,15826,47642,2022-04-23
90,Disney Studios,E-Commerce,GI-Bro,13644331,63447,37198,26249,2022-07-25
1557,Pinterest Inc,Influencer,Transmorphers,69737773,63444,7326,56118,2022-12-18
1921,TikTok Inc,Brand Publicity,Clay-Dough,51472793,63416,5027,58389,2022-09-06
4712,Google Inc.,Influencer,Transmorphers,13144007,63409,22260,41149,2022-07-26
3514,Google Inc.,E-Commerce,Merf,45933668,63394,24590,38804,2022-09-11
3491,Pinterest Inc,Influencer,Space Wars,89326426,63386,5084,58302,2022-06-28
3371,TikTok Inc,Brand Asset Development,Clay-Dough,18153393,63383,8626,54757,2022-12-02
4415,The Martingale Agency,Media Supported Asset,Clay-Dough,14945250,63329,4014,59315,2022-05-26
4162,The Martingale Agency,Brand Asset Development,Transmorphers,30344479,63323,11049,52274,2022-08-12
3862,Meta Platforms,Brand Asset Development,Space Wars,39602777,63314,11481,51833,2022-10-17
936,Google Inc.,Brand Asset Development,Transmorphers,29430424,63310,6829,56481,2022-10-27
3782,Disney Studios,Brand Publicity,GI-Bro,57748262,63307,23344,39963,2022-09-12
2868,The Martingale Agency,Brand Publicity,GI-Bro,18390213,63299,4553,58746,2022-10-15
1231,KYG Antler LLC,Brand Asset Development,Merf,88280539,63284,7795,55489,2022-07-18
4046,Nintendo Technologies,Media Supported Asset,Clay-Dough,21845651,63280,842,62438,2022-02-07
1965,KYG Antler LLC,E-Commerce,Clay-Dough,60162306,63278,1016,62262,2022-10-01
598,Meta Platforms,E-Commerce,Clay-Dough,80351451,63255,36446,26809,2022-01-31
2911,Disney Studios,Brand Publicity,Space Wars,78456761,63251,49040,14211,2022-01-08
4146,Disney Studios,E-Commerce,Merf,68116463,63246,2327,60919,2022-11-30
4645,TikTok Inc,Influencer,Merf,42829958,63233,38319,24914,2022-01-25
4144,KYG Antler LLC,Brand Publicity,GI-Bro,53491779,63219,6707,56512,2022-07-24
558,TikTok Inc,Brand Publicity,Clay-Dough,89857032,63216,46720,16496,2022-03-11
237,Meta Platforms,Media Supported Asset,Merf,73805463,63212,1797,61415,2022-11-02
3028,Meta Platforms,Media Supported Asset,GI-Bro,34549378,63208,7778,55430,2022-03-31
3438,TikTok Inc,E-Commerce,Merf,13696378,63197,26602,36595,2022-09-22
3374,KYG Antler LLC,Influencer,Space Wars,95240411,63170,517,62653,2022-09-07
4993,Nintendo Technologies,Brand Publicity,Transmorphers,68196853,63161,21553,41608,2022-01-09
1205,Google Inc.,E-Commerce,Space Wars,47004566,63159,8047,55112,2022-08-30
385,KYG Antler LLC,E-Commerce,GI-Bro,73511336,63152,58314,4838,2022-01-23
409,The Martingale Agency,Influencer,GI-Bro,41374782,63119,2565,60554,2022-11-25
1391,Pinterest Inc,Influencer,GI-Bro,48402607,63098,36353,26745,2022-03-02
2970,Google Inc.,Brand Asset Development,Space Wars,95420929,63070,49472,13598,2022-01-05
1328,Disney Studios,E-Commerce,Merf,60990506,63056,7039,56017,2022-11-15
2363,Pinterest Inc,Brand Publicity,Merf,57275885,63051,60522,2529,2022-06-03
3920,Google Inc.,Brand Publicity,Transmorphers,53073948,63048,61543,1505,2022-01-25
3158,Disney Studios,Brand Asset Development,Clay-Dough,31393972,63039,26947,36092,2022-05-19
3198,Meta Platforms,Influencer,Merf,20617235,63029,8025,55004,2022-11-20
451,Disney Studios,Brand Publicity,Space Wars,50230974,63025,20682,42343,2022-07-14
1252,Pinterest Inc,Brand Asset Development,Clay-Dough,73692122,63015,9904,53111,2022-11-15
1577,Google Inc.,Media Supported Asset,Merf,35247801,62992,27753,35239,2022-05-26
2154,Pinterest Inc,E-Commerce,Space Wars,27585442,62947,62038,909,2022-06-04
969,Google Inc.,Brand Publicity,Transmorphers,92383460,62841,9237,53604,2022-04-01
3206,Pinterest Inc,E-Commerce,Transmorphers,51409047,62834,3451,59383,2022-10-20
1888,Meta Platforms,Brand Publicity,Clay-Dough,87953175,62751,47256,15495,2022-03-01
4900,The Martingale Agency,Media Supported Asset,Merf,91670160,62749,47724,15025,2022-04-09
3530,Pinterest Inc,Influencer,Transmorphers,67183154,62730,22768,39962,2022-07-28
3267,Nintendo Technologies,Brand Publicity,Merf,74795281,62722,26463,36259,2022-06-21
52,TikTok Inc,Brand Publicity,Transmorphers,69646279,62717,21536,41181,2022-07-13
1778,TikTok Inc,E-Commerce,Space Wars,89540307,62703,9835,52868,2022-12-04
766,TikTok Inc,Media Supported Asset,Transmorphers,12188519,62702,43263,19439,2022-03-13
3773,Meta Platforms,Influencer,Clay-Dough,22464563,62685,36564,26121,2022-04-02
1757,Disney Studios,E-Commerce,Clay-Dough,40558298,62668,58125,4543,2022-06-22
2279,Google Inc.,Brand Publicity,Merf,85093235,62664,20551,42113,2022-08-04
3228,TikTok Inc,Brand Publicity,Merf,75273651,62645,1207,61438,2022-02-03
1764,Disney Studios,Brand Asset Development,GI-Bro,90839646,62633,3323,59310,2022-12-05
2684,Nintendo Technologies,Brand Publicity,Transmorphers,13663262,62597,32749,29848,2022-09-30
1222,TikTok Inc,Media Supported Asset,Space Wars,48012658,62547,11756,50791,2022-12-13
2454,Google Inc.,Influencer,GI-Bro,97274405,62530,8838,53692,2022-12-06
4916,KYG Antler LLC,E-Commerce,GI-Bro,27051854,62510,23256,39254,2022-04-27
1380,Nintendo Technologies,Brand Publicity,Transmorphers,37438713,62449,5852,56597,2022-06-03
974,Google Inc.,Brand Publicity,Clay-Dough,53413538,62447,52256,10191,2022-04-06
1132,The Martingale Agency,Brand Asset Development,GI-Bro,45960675,62442,38481,23961,2022-04-21
1070,Disney Studios,Brand Publicity,Space Wars,47369538,62432,2821,59611,2022-02-23
1524,TikTok Inc,Media Supported Asset,GI-Bro,49256598,62321,45487,16834,2022-01-21
1446,KYG Antler LLC,Influencer,Merf,89572695,62294,35103,27191,2022-04-07
326,TikTok Inc,Brand Asset Development,Transmorphers,56790530,62285,4021,58264,2022-10-27
4248,Meta Platforms,Media Supported Asset,Clay-Dough,19570471,62272,20706,41566,2022-01-16
3637,Meta Platforms,Influencer,Space Wars,12851639,62258,16465,45793,2022-02-05
1412,Disney Studios,E-Commerce,Merf,32759500,62248,56009,6239,2022-05-22
3412,Nintendo Technologies,Brand Asset Development,Merf,86938660,62246,3604,58642,2022-07-05
755,Meta Platforms,Media Supported Asset,Transmorphers,83146357,62243,37351,24892,2022-06-28
1085,Google Inc.,Influencer,Merf,95732253,62233,14484,47749,2022-06-18
614,Google Inc.,Brand Publicity,Clay-Dough,76311932,62216,10236,51980,2022-12-27
121,TikTok Inc,Media Supported Asset,Space Wars,57992382,62184,54035,8149,2022-05-03
1490,Disney Studios,E-Commerce,GI-Bro,36370230,62140,28007,34133,2022-01-05
651,KYG Antler LLC,E-Commerce,Clay-Dough,13480744,62131,58802,3329,2022-04-19
2435,Google Inc.,Media Supported Asset,Merf,40775236,62095,2245,59850,2022-12-10
3225,Google Inc.,Brand Asset Development,Space Wars,49648747,62074,38640,23434,2022-06-12
3818,Pinterest Inc,Influencer,GI-Bro,73288523,62047,3960,58087,2022-11-06
4599,The Martingale Agency,E-Commerce,Clay-Dough,86117375,62027,33862,28165,2022-03-01
4650,Pinterest Inc,Influencer,Space Wars,36115494,61968,4623,57345,2022-11-16
3780,Meta Platforms,Influencer,Clay-Dough,41781400,61920,11768,50152,2022-11-14
59,KYG Antler LLC,E-Commerce,Merf,20957734,61909,19027,42882,2022-08-11
1949,TikTok Inc,E-Commerce,GI-Bro,23792235,61865,40601,21264,2022-05-01
298,Nintendo Technologies,E-Commerce,Clay-Dough,51776336,61845,59524,2321,2022-01-13
1155,Pinterest Inc,Brand Asset Development,Merf,24034748,61840,9274,52566,2022-04-03
1976,Pinterest Inc,Brand Asset Development,Clay-Dough,33490517,61836,46091,15745,2022-05-24
4788,TikTok Inc,E-Commerce,GI-Bro,98817907,61830,45234,16596,2022-06-18
376,Disney Studios,E-Commerce,Transmorphers,19159489,61789,29946,31843,2022-03-05
2592,The Martingale Agency,Influencer,Space Wars,57627690,61745,51078,10667,2022-04-20
4196,Disney Studios,Media Supported Asset,Merf,78050870,61731,8995,52736,2022-10-30
592,Nintendo Technologies,Media Supported Asset,Transmorphers,79727181,61723,12731,48992,2022-08-24
1918,KYG Antler LLC,Media Supported Asset,Clay-Dough,17539631,61689,5231,56458,2022-11-14
3744,KYG Antler LLC,Media Supported Asset,Merf,97384508,61669,7775,53894,2022-09-22
2174,KYG Antler LLC,Brand Publicity,Clay-Dough,47532178,61634,61573,61,2022-03-31
4545,Google Inc.,E-Commerce,Merf,50681968,61616,4794,56822,2022-11-01
1108,Google Inc.,Brand Asset Development,Merf,38809512,61613,57804,3809,2022-04-19
3987,TikTok Inc,Media Supported Asset,Clay-Dough,26032657,61610,9611,51999,2022-10-08
2677,Google Inc.,Brand Publicity,Merf,68461964,61594,21807,39787,2022-06-01
319,Disney Studios,Brand Publicity,Clay-Dough,14294510,61568,48343,13225,2022-03-12
2808,KYG Antler LLC,Media Supported Asset,Clay-Dough,83659560,61556,22905,38651,2022-03-02
4858,Google Inc.,Brand Asset Development,Clay-Dough,17517029,61543,11021,50522,2022-10-03
882,Pinterest Inc,Media Supported Asset,Merf,52120219,61523,31349,30174,2022-06-16
4735,Nintendo Technologies,Brand Asset Development,Space Wars,45000201,61516,37053,24463,2022-02-02
3468,KYG Antler LLC,Influencer,Transmorphers,67632446,61493,44337,17156,2022-04-21
3848,KYG Antler LLC,E-Commerce,Merf,35205868,61486,9804,51682,2022-06-02
218,Pinterest Inc,Media Supported Asset,Clay-Dough,25591923,61431,2724,58707,2022-12-22
611,Nintendo Technologies,Brand Asset Development,Space Wars,87947401,61420,9046,52374,2022-10-10
4328,Google Inc.,E-Commerce,GI-Bro,61864887,61418,14995,46423,2022-08-19
2166,KYG Antler LLC,Influencer,GI-Bro,83375986,61415,9143,52272,2022-10-17
2285,Nintendo Technologies,Brand Publicity,Transmorphers,92604955,61395,1347,60048,2022-10-22
1704,TikTok Inc,Influencer,Merf,25086395,61373,4953,56420,2022-10-24
3119,KYG Antler LLC,Influencer,Merf,60733070,61361,46031,15330,2022-02-15
4083,Nintendo Technologies,E-Commerce,Merf,70407172,61350,30859,30491,2022-03-22
3278,KYG Antler LLC,Media Supported Asset,GI-Bro,27390164,61337,3075,58262,2022-06-29
2233,Google Inc.,E-Commerce,Transmorphers,53713412,61330,12753,48577,2022-03-26
1082,Nintendo Technologies,Media Supported Asset,Transmorphers,77082893,61324,16745,44579,2022-04-21
4440,Pinterest Inc,E-Commerce,Clay-Dough,91298804,61317,22565,38752,2022-08-19
521,Google Inc.,Brand Asset Development,Space Wars,20261166,61286,9672,51614,2022-09-10
768,Meta Platforms,Brand Publicity,Space Wars,40472738,61261,15932,45329,2022-05-07
3112,TikTok Inc,E-Commerce,Transmorphers,63388790,61190,2216,58974,2022-12-12
502,TikTok Inc,E-Commerce,Space Wars,82025701,61167,16123,45044,2022-08-24
2143,The Martingale Agency,Brand Asset Development,Space Wars,15209196,61163,8313,52850,2022-11-16
148,TikTok Inc,E-Commerce,Space Wars,65364887,61151,2336,58815,2022-12-22
3012,Pinterest Inc,E-Commerce,GI-Bro,78611512,61100,40509,20591,2022-05-08
2914,Nintendo Technologies,Media Supported Asset,Merf,58827070,61060,5522,55538,2022-10-14
1875,The Martingale Agency,Influencer,Space Wars,96241502,61018,6028,54990,2022-11-30
1855,Pinterest Inc,Influencer,GI-Bro,69210847,61000,28397,32603,2022-06-26
531,TikTok Inc,Influencer,GI-Bro,92325672,60969,5990,54979,2022-11-20
2172,TikTok Inc,E-Commerce,Space Wars,96576095,60963,19218,41745,2022-02-04
3543,Disney Studios,Media Supported Asset,Merf,40036674,60959,27489,33470,2022-08-29
3511,The Martingale Agency,Media Supported Asset,Space Wars,52956722,60945,19039,41906,2022-06-06
2922,KYG Antler LLC,E-Commerce,Transmorphers,41323839,60922,21406,39516,2022-09-22
1951,Nintendo Technologies,E-Commerce,Merf,32420196,60912,122,60790,2022-10-16
4200,Pinterest Inc,Media Supported Asset,Transmorphers,69929881,60894,44871,16023,2022-04-12
3557,The Martingale Agency,Brand Publicity,Transmorphers,81797993,60878,1515,59363,2022-11-10
2988,Nintendo Technologies,Influencer,Merf,25393713,60875,806,60069,2022-10-06
2405,Disney Studios,Influencer,Merf,29257036,60817,3279,57538,2022-12-28
1945,Meta Platforms,Media Supported Asset,Transmorphers,40389729,60804,15822,44982,2022-08-17
1654,Meta Platforms,Influencer,GI-Bro,89930941,60735,10535,50200,2022-04-04
2857,Google Inc.,Media Supported Asset,Transmorphers,70460700,60714,1024,59690,2022-10-27
235,Pinterest Inc,Influencer,GI-Bro,17742698,60680,23514,37166,2022-08-26
1899,Nintendo Technologies,Media Supported Asset,Space Wars,74944660,60677,47268,13409,2022-06-08
4663,KYG Antler LLC,Brand Asset Development,GI-Bro,24103898,60635,12894,47741,2022-02-13
3231,KYG Antler LLC,E-Commerce,Merf,47096965,60634,48452,12182,2022-02-28
1495,Meta Platforms,Influencer,GI-Bro,82002702,60625,60404,221,2022-03-17
4727,Nintendo Technologies,Brand Asset Development,Space Wars,90039966,60599,9906,50693,2022-07-26
4455,Meta Platforms,Brand Asset Development,Space Wars,95369749,60567,16430,44137,2022-05-27
505,Disney Studios,Brand Publicity,Transmorphers,28042187,60567,16870,43697,2022-09-12
4090,Pinterest Inc,Influencer,Merf,82791087,60559,56976,3583,2022-04-16
4188,KYG Antler LLC,Media Supported Asset,GI-Bro,36199990,60502,54884,5618,2022-04-21
4366,Pinterest Inc,Brand Asset Development,Space Wars,31987009,60497,52608,7889,2022-01-18
4249,TikTok Inc,Brand Asset Development,Clay-Dough,37130508,60450,2660,57790,2022-03-30
3398,TikTok Inc,Brand Publicity,Clay-Dough,83071550,60431,22197,38234,2022-05-17
1531,The Martingale Agency,Brand Publicity,Transmorphers,86988318,60421,30193,30228,2022-08-11
3281,The Martingale Agency,Brand Publicity,Space Wars,66360482,60413,5566,54847,2022-01-26
813,Pinterest Inc,E-Commerce,GI-Bro,99945409,60375,47390,12985,2022-05-21
3995,Meta Platforms,E-Commerce,Clay-Dough,57774510,60356,31758,28598,2022-03-19
3167,TikTok Inc,Brand Publicity,Merf,19868483,60353,2874,57479,2022-08-01
4259,TikTok Inc,E-Commerce,GI-Bro,95384786,60281,2841,57440,2022-12-18
4962,TikTok Inc,Influencer,Transmorphers,94920226,60271,4688,55583,2022-12-24
1546,Meta Platforms,Media Supported Asset,Clay-Dough,60602117,60262,23591,36671,2022-08-28
2246,KYG Antler LLC,Influencer,Clay-Dough,66050975,60233,34468,25765,2022-01-19
54,Meta Platforms,Brand Publicity,GI-Bro,52735152,60186,34042,26144,2022-08-22
4433,Pinterest Inc,E-Commerce,Merf,47764486,60052,317,59735,2022-01-27
933,The Martingale Agency,Media Supported Asset,Merf,25434299,60046,49285,10761,2022-06-12
3280,Pinterest Inc,Media Supported Asset,Merf,35242607,60029,9097,50932,2022-12-23
2667,Meta Platforms,Brand Publicity,GI-Bro,80951837,59996,1095,58901,2022-11-22
1672,KYG Antler LLC,Media Supported Asset,Clay-Dough,45063796,59982,5786,54196,2022-10-08
2055,Google Inc.,Brand Asset Development,GI-Bro,57154222,59974,870,59104,2022-11-07
1691,KYG Antler LLC,Brand Publicity,Merf,91093256,59962,54013,5949,2022-06-10
4907,Disney Studios,Brand Publicity,Space Wars,87743593,59950,206,59744,2022-10-03
2357,Meta Platforms,Media Supported Asset,Space Wars,54183575,59902,16900,43002,2022-09-19
894,The Martingale Agency,E-Commerce,Transmorphers,48582075,59882,29777,30105,2022-05-18
3477,TikTok Inc,E-Commerce,Space Wars,51080875,59860,30125,29735,2022-05-29
1692,Google Inc.,Influencer,Transmorphers,18548583,59839,604,59235,2022-11-20
4899,Pinterest Inc,Influencer,Space Wars,60913696,59830,54619,5211,2022-02-22
3413,Disney Studios,Brand Publicity,Merf,15399489,59816,36825,22991,2022-01-18
4215,Meta Platforms,Media Supported Asset,Transmorphers,23584409,59759,4799,54960,2022-08-22
4997,Nintendo Technologies,Influencer,Transmorphers,51114366,59695,8999,50696,2022-11-07
645,The Martingale Agency,Brand Publicity,Space Wars,66965426,59630,7073,52557,2022-11-06
279,The Martingale Agency,E-Commerce,Space Wars,46320505,59607,5905,53702,2022-12-13
4676,Meta Platforms,E-Commerce,GI-Bro,51426919,59598,33072,26526,2022-01-17
2916,TikTok Inc,Brand Asset Development,Transmorphers,96755653,59576,8698,50878,2022-08-14
384,Pinterest Inc,Brand Asset Development,GI-Bro,43161557,59562,13311,46251,2022-07-29
4102,KYG Antler LLC,Brand Asset Development,Transmorphers,38477605,59550,6358,53192,2022-12-23
1582,Google Inc.,Influencer,Clay-Dough,47466692,59541,33121,26420,2022-09-15
4275,Google Inc.,Media Supported Asset,Merf,19909336,59521,5429,54092,2022-03-01
4799,TikTok Inc,E-Commerce,Transmorphers,55042676,59501,22875,36626,2022-03-24
4334,TikTok Inc,Influencer,Transmorphers,43457728,59431,4600,54831,2022-10-10
2746,Google Inc.,Media Supported Asset,Transmorphers,48658219,59386,4621,54765,2022-01-11
3700,Meta Platforms,Influencer,Clay-Dough,23627071,59330,13864,45466,2022-03-15
2269,The Martingale Agency,Brand Asset Development,Space Wars,98866928,59326,1333,57993,2022-11-21
306,Disney Studios,Influencer,GI-Bro,42223435,59266,54268,4998,2022-05-19
64,Pinterest Inc,Influencer,GI-Bro,63165092,59249,29445,29804,2022-03-29
362,Google Inc.,Media Supported Asset,GI-Bro,24659696,59238,52692,6546,2022-01-01
2693,Pinterest Inc,Influencer,Space Wars,31148781,59225,7139,52086,2022-10-26
1955,Google Inc.,Brand Publicity,GI-Bro,24367108,59201,41781,17420,2022-02-04
199,Google Inc.,Brand Asset Development,Space Wars,40148636,59160,5720,53440,2022-09-20
1313,Google Inc.,Brand Asset Development,Clay-Dough,84240381,59155,58261,894,2022-02-11
1394,Disney Studios,Influencer,Merf,66089101,59107,12569,46538,2022-02-17
4269,The Martingale Agency,Brand Asset Development,Transmorphers,40867020,59092,27785,31307,2022-06-30
2301,Disney Studios,Brand Publicity,Merf,10703073,59088,10213,48875,2022-01-30
2975,Meta Platforms,Brand Asset Development,Transmorphers,36066692,59086,30052,29034,2022-07-02
2664,Pinterest Inc,Brand Publicity,Merf,35653365,59071,7155,51916,2022-04-14
1159,KYG Antler LLC,Brand Asset Development,Transmorphers,78341961,59063,912,58151,2022-04-24
